Id,LifeExp,LifeExpMed,LifeExpDiff
1322,39.4983829135983,30.180083698173387,9.318299215424911
1152,36.71375926682785,28.50005916810739,8.213700098720459
2953,33.90005329047558,26.649242949619804,7.250810340855779
2770,19.89529851822544,17.007785020943693,2.8875134972817484
1546,48.68454152774831,35.21780911842257,13.466732409325736
2608,52.87433333203611,37.49820999871522,15.37612333332089
1801,27.00275381265658,22.09854475633962,4.904209056316958
1218,22.67467599215396,19.113137319111498,3.561538673042463
2265,29.532167213000008,23.90269971447899,5.6294674985210165
1383,55.7841268047176,38.93354782916921,16.850578975548395
1039,49.01598263388453,35.51219934045484,13.503783293429692
2108,31.249913900939102,24.942786209316267,6.307127691622835
1666,36.71375926682785,28.50005916810739,8.213700098720459
1786,31.249913900939102,24.942786209316267,6.307127691622835
